"Genus" "Freq" "Freq_rel"
"1" "Bacteroides" 81617 0.181955795734739
"2" "UCG002" 26028 0.0580264583528405
"3" "Akkermansia" 23360 0.0520784565514966
"4" "Alistipes" 21903 0.0488302411749756
"5" "EscherichiaShigella" 21826 0.0486585784543221
"6" "Eubacterium_coprostanoligenes_group" 19146 0.0426838240211881
"7" "No Asignado" 18543 0.0413395042737329
"8" "Faecalibacterium" 17567 0.0391636235548005
"9" "Prevotella_9" 15193 0.0338710612323154
"10" "Subdoligranulum" 11765 0.0262287260842619
"11" "Clostridia_UCG014" 11594 0.0258475010812522
"12" "Lachnospiraceae_NK4A136_group" 10684 0.0238187598371656
"13" "Phascolarctobacterium" 9983 0.0222559602634242
"14" "Roseburia" 8428 0.018789265060617
"15" "Agathobacter" 8031 0.0179041988255595
"16" "CAG352" 7316 0.0163101878480629
"17" "Ruminococcus_torques_group" 6207 0.0138377987934563
"18" "Blautia" 6159 0.0137307882662957
"19" "Christensenellaceae_R7_group" 5585 0.0124511207123334
"20" "Dialister" 5395 0.012027537375656
"21" "Paraprevotella" 5353 0.0119339031643905
"22" "Coprococcus" 5303 0.0118224338652648
"23" "Barnesiella" 5146 0.0114724202660103
"24" "Parabacteroides" 5067 0.0112962987733918
"25" "Ruminococcus" 4789 0.0106765294702533
"26" "UCG005" 4598 0.0102507167475934
"27" "Uncultured" 4546 0.0101347886765027
"28" "Dorea" 4389 0.00978477507724822
"29" "Erysipelotrichaceae_UCG003" 3818 0.00851179568123347
"30" "NK4A214_group" 3528 0.00786527374630479
"31" "Butyrivibrio" 3312 0.00738372637408205
"32" "Eubacterium_eligens_group" 3109 0.00693116101963197
"33" "Streptococcus" 2896 0.00645630180535677
"34" "Veillonella" 2737 0.00610182943413725
"35" "Eubacterium_siraeum_group" 2400 0.00535052635803047
"36" "Incertae_Sedis" 2106 0.00469508687917174
"37" "Muribaculaceae" 2025 0.00451450661458821
"38" "Fusicatenibacter" 2003 0.00446546012297293
"39" "Lachnospira" 1920 0.00428042108642438
"40" "Collinsella" 1825 0.00406862941808567
"41" "UCG003" 1715 0.00382339696000927
"42" "Eubacterium_ruminantium_group" 1697 0.00378326801232405
"43" "Odoribacter" 1576 0.00351351230844001
"44" "UCG010" 1534 0.00341987809717448
"45" "Holdemanella" 1471 0.00327942678027618
"46" "Bifidobacterium" 1440 0.00321031581481828
"47" "Alloprevotella" 1356 0.00302304739228722
"48" "Rikenellaceae_RC9_gut_group" 1330 0.00296508335674189
"49" "Lachnoclostridium" 1265 0.00282017326787856
"50" "Desulfovibrio" 1216 0.00271093335473544
"51" "Lachnospiraceae_ND3007_group" 1188 0.00264851054722508
"52" "Prevotella" 1176 0.00262175791543493
"53" "UBA1819" 1081 0.00240996624709622
"54" "Monoglobus" 1069 0.00238321361530607
"55" "Sutterella" 978 0.00218033949089742
"56" "Gastranaerophilales" 970 0.00216250440303732
"57" "Clostridium_sensu_stricto_1" 957 0.00213352238526465
"58" "Parasutterella" 957 0.00213352238526465
"59" "Anaerostipes" 862 0.00192173071692594
"60" "Fusobacterium" 841 0.00187491361129318
"61" "Clostridia_vadinBB60_group" 817 0.00182140834771287
"62" "Eubacterium_xylanophilum_group" 729 0.00162522238125176
"63" "Lachnospiraceae_UCG001" 673 0.00150037676623104
"64" "Butyricicoccus" 666 0.00148477106435346
"65" "Faecalitalea" 630 0.001404513168983
"66" "Ruminococcus_gauvreauii_group" 609 0.00135769606335023
"67" "Catenibacterium" 591 0.001317567115665
"68" "Eubacterium_hallii_group" 535 0.00119272150064429
"69" "Flavonifractor" 530 0.00118157457073173
"70" "Ruminococcus_gnavus_group" 507 0.00113029869313394
"71" "Family_XIII_AD3011_group" 498 0.00111023421929132
"72" "Lachnospiraceae_UCG003" 485 0.00108125220151866
"73" "Colidextribacter" 473 0.00105449956972851
"74" "Lachnospiraceae_UCG010" 446 0.000994306148200663
"75" "Ligilactobacillus" 427 0.000951947814532921
"76" "Megasphaera" 422 0.000940800884620358
"77" "Eubacterium_ventriosum_group" 414 0.000922965796760256
"78" "RF39" 402 0.000896213164970104
"79" "Intestinibacter" 395 0.000880607463092515
"80" "Oscillibacter" 372 0.000829331585494723
"81" "CAG56" 359 0.000800349567722058
"82" "Fournierella" 338 0.000753532462089291
"83" "Romboutsia" 338 0.000753532462089291
"84" "Butyricimonas" 289 0.000644292548946169
"85" "Bilophila" 261 0.000581869741435814
"86" "Negativibacillus" 256 0.00057072281152325
"87" "Coprobacillus" 254 0.000566264039558225
"88" "Enterococcus" 245 0.000546199565715611
"89" "Bacteroides_pectinophilus_group" 228 0.000508300004012895
"90" "Lachnospiraceae_NK4B4_group" 223 0.000497153074100331
"91" "Weissella" 210 0.000468171056327666
"92" "Ralstonia" 206 0.000459253512397615
"93" "Family_XIII_UCG001" 202 0.000450335968467565
"94" "Prevotella_7" 190 0.000423583336677412
"95" "Hungatella" 180 0.000401289476852285
"96" "Tyzzerella" 179 0.000399060090869773
"97" "Lachnospiraceae_FCS020_group" 147 0.000327719739429366
"98" "Holdemania" 135 0.000300967107639214
"99" "Candidatus_Soleaferrea" 132 0.000294278949691676
"100" "DTU089" 126 0.0002809026337966
"101" "Mitsuokella" 126 0.0002809026337966
"102" "Eggerthella" 125 0.000278673247814087
"103" "Eisenbergiella" 125 0.000278673247814087
"104" "Clostridium_innocuum_group" 115 0.00025637938798896
"105" "Allisonella" 79 0.000176121492618503
"106" "Methanobrevibacter" 77 0.000171662720653478
"107" "Coprobacter" 65 0.000144910088863325
"108" "GCA900066575" 65 0.000144910088863325
"109" "Limosilactobacillus" 63 0.0001404513168983
"110" "Howardella" 59 0.000131533772968249
"111" "Lachnospiraceae_UCG004" 49 0.000109239913143122
"112" "Marvinbryantia" 49 0.000109239913143122
"113" "Izemoplasmatales" 46 0.000102551755195584
"114" "Turicibacter" 42 9.36342112655332e-05
"115" "Frisingicoccus" 37 8.24872813529698e-05
"116" "Cloacibacillus" 33 7.3569737422919e-05
"117" "UCG009" 33 7.3569737422919e-05
"118" "Lactobacillus" 30 6.68815794753809e-05
"119" "Enterorhabdus" 23 5.1275877597792e-05
"120" "Slackia" 18 4.01289476852285e-05
"121" "Victivallis" 18 4.01289476852285e-05
"122" "Pseudomonas" 17 3.78995617027158e-05
"123" "Lactococcus" 16 3.56701757202031e-05
"124" "Phocea" 16 3.56701757202031e-05
"125" "Lachnospiraceae_UCG008" 15 3.34407897376904e-05
"126" "Rothia" 15 3.34407897376904e-05
"127" "Gordonibacter" 13 2.89820177726651e-05
"128" "Anaerofilum" 12 2.67526317901524e-05
"129" "Adlercreutzia" 10 2.2293859825127e-05
"130" "Sellimonas" 10 2.2293859825127e-05
"131" "Harryflintia" 9 2.00644738426143e-05
"132" "Paludicola" 9 2.00644738426143e-05
"133" "Peptococcus" 9 2.00644738426143e-05
"134" "Anaeroplasma" 8 1.78350878601016e-05
"135" "Anaerotruncus" 8 1.78350878601016e-05
"136" "Comamonas" 8 1.78350878601016e-05
"137" "DTU014" 8 1.78350878601016e-05
"138" "Senegalimassilia" 8 1.78350878601016e-05
"139" "UCG004" 8 1.78350878601016e-05
"140" "Erysipelatoclostridiaceae" 7 1.56057018775889e-05
"141" "Hydrogenoanaerobacterium" 7 1.56057018775889e-05
"142" "Christensenella" 6 1.33763158950762e-05
"143" "Solobacterium" 6 1.33763158950762e-05
"144" "Defluviitaleaceae_UCG011" 5 1.11469299125635e-05
"145" "Dielma" 5 1.11469299125635e-05
"146" "Epulopiscium" 5 1.11469299125635e-05
"147" "Eubacterium_fissicatena_group" 5 1.11469299125635e-05
"148" "TM7x" 5 1.11469299125635e-05
"149" "Tuzzerella" 5 1.11469299125635e-05
"150" "Angelakisella" 4 8.91754393005079e-06
"151" "Eubacterium_nodatum_group" 4 8.91754393005079e-06
"152" "Anaerofustis" 3 6.68815794753809e-06
"153" "Clostridium_methylpentosum_group" 3 6.68815794753809e-06
"154" "Fenollaria" 3 6.68815794753809e-06
"155" "Gemella" 3 6.68815794753809e-06
"156" "Saccharimonadaceae" 2 4.45877196502539e-06
"157" "Campylobacter" 1 2.2293859825127e-06
"158" "Staphylococcus" 1 2.2293859825127e-06
"159" "Acidaminococcus" 0 0
